HistoricalDate,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
09 Aug 2023,Nifty Bank,44973.45,44975.00,44533.75,44880.70
08 Aug 2023,Nifty Bank,44888.95,45096.85,44817.85,44964.45
07 Aug 2023,Nifty Bank,44993.70,45011.35,44773.85,44837.50
04 Aug 2023,Nifty Bank,44754.75,45118.05,44520.55,44879.50
03 Aug 2023,Nifty Bank,44862.85,45038.45,44279.40,44513.45
02 Aug 2023,Nifty Bank,45234.65,45404.90,44720.90,44995.70
01 Aug 2023,Nifty Bank,45740.00,45782.75,45471.05,45592.50
31 Jul 2023,Nifty Bank,45546.35,45694.90,45359.75,45651.10
28 Jul 2023,Nifty Bank,45560.90,45727.75,45238.80,45468.10
27 Jul 2023,Nifty Bank,46285.85,46310.10,45570.65,45679.30
26 Jul 2023,Nifty Bank,45935.15,46096.60,45804.70,46062.35
25 Jul 2023,Nifty Bank,46154.70,46156.10,45622.85,45845.00
24 Jul 2023,Nifty Bank,46131.90,46191.50,45858.75,45923.05
21 Jul 2023,Nifty Bank,46063.95,46369.50,45925.90,46075.20
20 Jul 2023,Nifty Bank,45689.05,46256.20,45640.95,46186.90
19 Jul 2023,Nifty Bank,45622.50,45707.40,45433.00,45669.30
18 Jul 2023,Nifty Bank,45754.80,45905.85,45281.30,45410.85
17 Jul 2023,Nifty Bank,44951.20,45556.45,44695.05,45449.75
14 Jul 2023,Nifty Bank,44860.65,44923.85,44547.80,44819.30
13 Jul 2023,Nifty Bank,45009.30,45085.15,44612.20,44665.05
12 Jul 2023,Nifty Bank,44872.60,44937.25,44562.40,44639.45
11 Jul 2023,Nifty Bank,44998.00,45139.55,44663.05,44745.05
10 Jul 2023,Nifty Bank,44958.65,45184.30,44721.90,44860.85
07 Jul 2023,Nifty Bank,45118.05,45227.25,44844.80,44925.00
06 Jul 2023,Nifty Bank,45060.55,45417.50,45042.60,45339.90
05 Jul 2023,Nifty Bank,45169.70,45418.90,45073.40,45151.80
04 Jul 2023,Nifty Bank,45310.55,45655.50,45000.25,45301.45
03 Jul 2023,Nifty Bank,44957.95,45353.20,44882.10,45158.10
30 Jun 2023,Nifty Bank,44666.00,44787.10,44447.20,44747.35
28 Jun 2023,Nifty Bank,44419.50,44508.40,44163.20,44327.80
27 Jun 2023,Nifty Bank,43804.55,44194.65,43693.15,44121.50
26 Jun 2023,Nifty Bank,43714.75,43773.10,43541.75,43641.05
23 Jun 2023,Nifty Bank,43641.60,43824.10,43519.55,43622.90
22 Jun 2023,Nifty Bank,43874.80,44042.15,43663.35,43724.85
21 Jun 2023,Nifty Bank,43894.40,43946.70,43698.95,43859.20
20 Jun 2023,Nifty Bank,43597.55,43823.95,43345.95,43766.50
19 Jun 2023,Nifty Bank,44015.30,44040.35,43501.40,43633.75
16 Jun 2023,Nifty Bank,43583.35,44083.25,43536.95,43938.15
15 Jun 2023,Nifty Bank,44054.35,44077.45,43397.50,43443.60
14 Jun 2023,Nifty Bank,44181.65,44212.35,43956.15,43988.00
13 Jun 2023,Nifty Bank,43889.70,44138.15,43889.70,44079.85
12 Jun 2023,Nifty Bank,44035.20,44124.95,43874.05,43944.20
09 Jun 2023,Nifty Bank,44045.75,44220.10,43932.60,43989.00
08 Jun 2023,Nifty Bank,44208.30,44459.25,43917.90,43995.25
07 Jun 2023,Nifty Bank,44318.70,44346.30,44143.50,44275.30
06 Jun 2023,Nifty Bank,44156.70,44236.20,44009.70,44164.55
05 Jun 2023,Nifty Bank,44103.25,44266.15,44074.20,44101.65
02 Jun 2023,Nifty Bank,43997.30,44088.90,43812.55,43937.85
01 Jun 2023,Nifty Bank,44172.05,44179.95,43706.15,43790.20
31 May 2023,Nifty Bank,44318.00,44339.05,43822.70,44128.15
30 May 2023,Nifty Bank,44277.35,44498.60,44207.50,44436.35
29 May 2023,Nifty Bank,44276.80,44483.35,44193.95,44311.90
26 May 2023,Nifty Bank,43765.35,44067.60,43588.80,44018.00
25 May 2023,Nifty Bank,43630.25,43719.85,43390.30,43681.40
24 May 2023,Nifty Bank,43751.95,44010.45,43639.80,43677.85
23 May 2023,Nifty Bank,43978.90,44095.25,43852.20,43954.45
22 May 2023,Nifty Bank,43935.30,44026.75,43684.90,43885.10
19 May 2023,Nifty Bank,43930.00,44020.90,43531.90,43969.40
18 May 2023,Nifty Bank,44006.90,44079.20,43673.70,43752.30
17 May 2023,Nifty Bank,43948.50,43992.75,43446.40,43698.70
16 May 2023,Nifty Bank,44144.15,44144.15,43815.70,43903.70
15 May 2023,Nifty Bank,43821.05,44151.70,43666.60,44072.10
12 May 2023,Nifty Bank,43447.15,43905.95,43347.75,43793.55
11 May 2023,Nifty Bank,43535.10,43774.25,43367.25,43475.30
10 May 2023,Nifty Bank,43275.25,43383.65,42822.15,43331.05
09 May 2023,Nifty Bank,43438.55,43533.25,43125.85,43198.15
08 May 2023,Nifty Bank,42796.85,43418.55,42780.30,43284.00
05 May 2023,Nifty Bank,43110.65,43588.00,42582.20,42661.20
04 May 2023,Nifty Bank,43236.10,43739.80,43213.95,43685.45
03 May 2023,Nifty Bank,43154.85,43354.95,43078.15,43312.70
02 May 2023,Nifty Bank,43395.05,43483.85,43269.40,43352.10
28 Apr 2023,Nifty Bank,43045.50,43302.05,42810.35,43233.90
27 Apr 2023,Nifty Bank,42753.90,43043.40,42736.60,43000.85
26 Apr 2023,Nifty Bank,42559.05,42875.60,42432.25,42829.90
25 Apr 2023,Nifty Bank,42731.60,42865.55,42601.50,42678.50
